4.665414149445118	5.165414149445118	coughs_16
11.890050780998353	12.390050780998353	coughs_16
16.71569682141476	18.15868982141476	drawer
24.935218508076254	27.676216508076255	laughter
27.307419224947726	27.807419224947726	coughs_16
101.08954324927646	101.58954324927646	coughs_16
153.55694716634073	154.05694716634073	coughs_16
182.66062759877497	183.73563859877495	knock
306.74820718223924	307.24820718223924	coughs_16
356.29221695895455	356.79321495895454	knock
392.4376876285063	393.7726986285063	phone
442.37556856806094	444.10556856806096	keysdrop
489.63890983408993	490.16090483408993	doorslam
557.5105372315282	558.0105372315282	coughs_16
572.8358657540467	573.3358657540467	coughs_16
603.5708877222534	604.0998897222534	laughter
654.7557303067157	655.2557303067157	coughs_16
709.98783621493	710.65484321493	knock
770.66454564006	771.4695566400601	pageturn
822.6958068161526	823.1958068161526	coughs_16
834.843882040045	835.343882040045	coughs_16
849.6586307983481	851.281623798348	drawer
1033.2568219644104	1034.3918329644105	keyboard
1052.7876178562008	1053.2876178562008	coughs_16
1141.8670008078623	1142.3670008078623	coughs_16
1163.2962876713793	1164.3922966713794	keyboard
1213.2618468461144	1213.7618468461144	coughs_16
1304.1731748137427	1304.6731748137427	coughs_16
1446.03382678701	1446.3398357870099	doorslam
1455.3441200587008	1455.8441200587008	coughs_16
1484.3802642950382	1486.1642552950382	phone
1493.171067393776	1493.671067393776	coughs_16
1547.3734744878816	1547.8734744878816	coughs_16
1574.4838244742348	1575.0748224742347	knock
1599.606899232071	1600.647897232071	pageturn
1697.7426977254354	1698.2426977254354	coughs_16
1721.7036787204436	1722.1056737204435	keysdrop
1769.788291733277	1770.288291733277	coughs_16
